,importance
AL_54,0.014413711556353606
AL_147,0.01434906934178341
AL_249,0.013868456118872843
CAT_2,0.013702136023370993
AL_59,0.012993333205571972
AL_163,0.012443182549708104
AL_126,0.012437734549017455
AL_210,0.01225881230973452
AL_159,0.011846648682880679
AL_278,0.010718483257493272
AL_87,0.010216450609239858
AL_241,0.010128214650953874
AL_286,0.010095153503555544
AL_138,0.009830169117219574
AL_217,0.009820912122137464
AL_308,0.009633247053353004
AL_225,0.009624870278169396
AL_132,0.009438067997588106
AL_261,0.009136638177424845
AL_273,0.009134322567605555
AL_102,0.008817274946616084
AL_129,0.008700502552556631
AL_213,0.008562912597033994
AL_177,0.008515355092452956
BIO_alblk16_max,0.00769983759519105
AL_301,0.0072044711748319055
AL_229,0.00704476947724819
AL_114,0.006763454367456262
AL_201,0.006681621156227781
AL_98,0.006658857576498133
AL_214,0.006572561319422179
AL_196,0.006387323556553838
AA_1_V,0.006292609823770348
AL_293,0.006054539154929122
AL_162,0.005927559746645325
AL_222,0.005653255547844556
AL_281,0.005604888962659459
AL_264,0.00537331107729083
AL_334,0.00527743497915542
AL_246,0.005033467876427297
AL_277,0.004993870640136891
AL_274,0.0049436617829226375
AA_1_Y,0.004793351552388161
AA_1_I,0.0044454874500519164
AL_69,0.004419362392899419
AL_221,0.004364684175858857
AL_111,0.00428569476539564
AA_2_L,0.004206421970639027
AL_305,0.003963982206295232
AL_156,0.003911096373625995
AA_1_L,0.003900197993078181
AL_168,0.0038267808131460675
AL_96,0.0037573111427871542
AL_72,0.0035350788804116816
AL_242,0.0033534562646893524
AL_322,0.003003990292445976
AL_99,0.0028650986944379004
AA_1_H,0.0028149979856370404
AL_77,0.002771730466697461
AA_1_E,0.0024386627254124353
AL_265,0.0023654297816241123
AA_1_P,0.0022329588406711466
AL_282,0.002194720266826727
BIO_alblk17_max,0.0020082131823648255
AA_2_G,0.0016336067162708323
AA_2_AS,0.0012052274509734922
AA_1_Q,0.0010620875455620402
AA_1_AG,0.0009952979708948296
BIO_alblk50_max,0.0006501221021365999
BIO_alblk18_max,0.00023605795584715107
AA_1_SV,0.00014818627152270836
AA_1_TH,0.0001219210887314387
BIO_alblk65_max,0.00010022291280962136
AA_2_PN,8.825769621353174e-05
AA_2_RI,8.733343215169133e-05
AA_1_CG,7.338195220592477e-05
AA_2_SD,4.612901870892673e-05
BIO_alblk08_max,1.120668169323904e-05
AL_86,0.0
AL_303,0.0
AL_307,0.0
AL_312,0.0
AL_309,0.0
AL_316,0.0
BIO_alblk61_max,0.0
BIO_alblk55_max,0.0
AL_84,0.0
AA_1_F,0.0
AL_80,0.0
AA_1_T,0.0
AA_1_S,0.0
BIO_alblk51_max,0.0
AL_89,0.0
BIO_alblk56_max,0.0
AL_324,0.0
AL_44,0.0
AL_216,0.0
AL_227,0.0
AL_220,0.0
AL_197,0.0
AA_2_M,0.0
AA_2_I,0.0
AL_328,0.0
AL_272,0.0
AL_233,0.0
AL_231,0.0
AL_259,0.0
AL_258,0.0
AL_256,0.0
AL_252,0.0
AL_250,0.0
AA_1_W,0.0
AA_2_C,0.0
AA_2_F,0.0
AA_2_D,0.0
AA_2_H,0.0
AA_1_D,0.0
