,importance
AA_2_E,0.0015836199378278914
BIO_alblk15_std,0.0015620731755792703
AL_225,0.0015362329733523254
CAT_3,0.0015192792240305206
AL_251,0.0014858122239262562
AL_189,0.0014637192786302999
AL_46,0.0014513483668138186
AL_61,0.0014476774057149678
BIO_alblk27_mean,0.0014397233843330152
BIO_alblk32_std,0.0014385334619343086
AL_147,0.0014136448218958519
AL_275,0.001277996321936131
AL_250,0.0012272294750295593
AL_263,0.0012219818070462074
AL_293,0.0012150711708291482
AL_235,0.00121434258708701
AL_217,0.0011878280061744391
AL_255,0.0011444472464487861
BIO_alblk33_mean,0.0011359486484280954
AL_294,0.0011083113175711962
AA_1_V,0.001060524429713721
AL_239,0.001051495516137461
BIO_alblk36_max,0.0010330378783353909
AL_167,0.001000982735678019
AL_214,0.0009899160498715183
BIO_alblk42_std,0.0009669182303328101
AL_196,0.0009484735909232378
AL_227,0.0009362506748963635
AL_270,0.0009249372043046513
AL_57,0.0008399785825432075
AL_21,0.0008386741961598362
AL_241,0.0008099064134585429
BIO_alblk37_mean,0.0008058033563860071
BIO_alblk30_std,0.0007931140903336848
AL_108,0.000791020685673408
BIO_alblk30_max,0.0007439286889709114
AL_303,0.0006839221784129147
AL_109,0.0006648514960398301
AL_74,0.0006566655700516981
AL_140,0.0006376851761465084
AL_215,0.0006195498987776684
AL_124,0.000612357154214035
AL_143,0.0005701047543523927
BIO_alblk40_std,0.0005633135566945238
AL_184,0.000558255532919603
AL_168,0.0005103751099717327
BIO_alblk24_max,0.0004886897558493796
AL_119,0.0004478937286575531
AL_317,0.00043107019409844747
BIO_alblk17_std,0.00042320755603550056
AL_193,0.00039680391160595494
AL_268,0.00038930161625839045
AL_238,0.00038607456438968156
AL_224,0.00036588944098745943
BIO_alblk46_mean,0.0003474251294437696
BIO_alblk52_std,0.0003188438126973326
BIO_alblk26_max,0.00031775080128685533
AL_179,0.0002870531535310851
AA_1_E,0.0002627947648475002
BIO_alblk29_max,0.00025203246795573814
AL_258,0.00024945408973645435
BIO_alblk24_mean,0.0002441066116620014
AL_19,0.0002434320325218877
AA_1_N,0.00021606304000037205
AL_261,0.00021498305096606971
AL_291,0.00021170380245218458
BIO_alblk33_max,0.00021089377036905124
AL_155,0.00020970499292563837
AL_213,0.00019467227958356166
AL_277,0.00019332778124842102
BIO_alblk53_std,0.00016731525930985185
BIO_alblk37_max,0.00015862772827911244
AL_246,0.00015542671500634462
AL_284,0.0001549163673787707
AL_256,0.00015310764857067336
AL_286,0.00012371913291103065
BIO_alblk16_max,0.00011399668428147755
AL_288,0.00010546157028701551
AL_236,0.00010135844980699752
AL_208,0.00010066483780309303
AL_204,0.00010000154301843753
AL_71,9.994852923454968e-05
AL_69,9.570871589307157e-05
AL_77,8.855359634625454e-05
AL_98,8.361093380771894e-05
AL_221,6.142634933002773e-05
AL_229,6.0254367345454005e-05
AL_176,4.917367918845016e-05
AL_183,4.353076915575011e-05
AL_244,3.649060334230917e-05
AA_2_F,3.57112285464002e-05
AL_75,3.532986891402977e-05
AL_252,3.263575504824701e-05
AA_2_V,2.9167579802669923e-05
AL_53,2.8419723861885085e-05
AL_259,2.4270270749591736e-05
AL_233,1.7555510573193063e-05
AL_114,1.5618180806932515e-05
AL_267,1.337788428346665e-05
AL_44,8.299501086632475e-06
AL_125,6.536865577888759e-06
AL_231,6.452893396941952e-06
AL_164,5.805348986163154e-06
AL_269,5.6344276560113335e-06
AL_110,4.429269882711797e-06
AL_105,2.7622535268886286e-06
AL_209,1.0200771074103081e-06
AL_158,5.761397938320353e-07
AA_2_Y,2.7024914411735286e-07
AL_276,8.69368816998794e-08
AL_197,0.0
AA_1_L,0.0
AL_192,0.0
AA_1_D,0.0
AA_1_S,0.0
AA_1_P,0.0
AA_1_Q,0.0
AL_146,0.0
AA_1_Y,0.0
AA_1_W,0.0
AL_104,0.0
AA_1_M,0.0
AA_1_H,0.0
AA_2_D,0.0
AL_220,0.0
AA_2_H,0.0
AA_2_I,0.0
AA_2_C,0.0
AL_134,0.0
AA_2_W,0.0
AA_2_Q,0.0
AA_2_R,0.0
AA_1_T,0.0
AA_2_S,0.0
AA_1_R,0.0
AL_216,0.0
AA_2_K,0.0
AA_2_L,0.0
AA_2_G,0.0
AL_292,0.0
AL_212,0.0
AL_290,0.0
AL_185,0.0
AL_274,0.0
AL_170,0.0
AL_2,0.0
